来源,序号/名称,标题/名称,提取餐厅/地点名,Google Maps查询URL,Google查询词,Google候选名,Google候选详情,Google纬度,Google经度,Google页面文件,Google搜索状态,是否可先作为地址候选,备注
小红书,64,塔什干 kfc的穷鬼套餐,KFC,https://www.google.com/maps/search/KFC%20Tashkent%20Uzbekistan%20restaurant,kfc kfc Tashkent Uzbekistan,KFC,3.3 (58)·UZS 5-10万 | 快餐·Улица Баходира 1 | 24 小时营业·+998 78 129 70 00 | 堂食·外带·送货,41.2986729,69.2460701,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/16_seq64_kfc的穷鬼套餐.md,Google有坐标待Yandex坐标复核,是,
小红书,71,塔什干 最红的syrovarnya 吃嗨了,Syrovarnya,https://www.google.com/maps/search/Syrovarnya%20Tashkent%20Uzbekistan%20restaurant,syrovarnya syrovarnya Tashkent Uzbekistan,# Google 地图,,41.3118672,69.2856216,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/19_seq71_最红的syrovarnya_吃嗨了.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,78,塔什干 kitana 300w吃了个寂寞,Kitana,https://www.google.com/maps/search/Kitana%20Tashkent%20Uzbekistan%20restaurant,kitana kitana Tashkent Uzbekistan,# Google 地图,,41.3121108,69.2860065,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/22_seq78_kitana.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,81,塔什干 美少女聚集的咖啡屋 Cocochou,Cocochou,https://www.google.com/maps/search/Cocochou%20Tashkent%20Uzbekistan%20restaurant,Cocochou Cocochou Tashkent Uzbekistan coffee shop,COCOCHOU BAKERY,"Mirobod ko'chasi 39, 100015, Тоshkent",41.2928277,69.2717089,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/24_seq81_Cocochou.md,用户补充地址+Google Maps已确认,是,用户补充 Cocochou 地址与 Google Maps 同名详情页一致。
小红书,84,塔什干 index市场里的本地菜 doda,Doda,https://www.google.com/maps/search/Doda%20Tashkent%20Uzbekistan%20restaurant,doda index doda market Tashkent Uzbekistan,# Google 地图,,41.3715299,69.1486849,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/26_seq84_doda.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,85,塔什干 光盘每一餐的店 湘疆缘,湘疆缘,https://www.google.com/maps/search/%E6%B9%98%E7%96%86%E7%BC%98%20Tashkent%20Uzbekistan%20restaurant,Yan Tashkent Uzbekistan,Yapartner,"2.8 (207) | 出租车公司··Ташкент, Чиланзарский район квартал 6, 22 | +998 97 720 78 89 | 门店服务",41.2838846,69.2102931,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/27_seq85_湘疆缘.md,Google有坐标待Yandex坐标复核,是,
小红书,90,塔什干 棒约翰披萨🍕,Papa Johns,https://www.google.com/maps/search/Papa%20Johns%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan,# Google 地图,,41.2982211,69.2385223,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/28_seq90_塔什干_棒约翰披萨_.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,93,塔什干 高加索菜 Южанин,Южанин,https://www.google.com/maps/search/%D0%AE%D0%B6%D0%B0%D0%BD%D0%B8%D0%BD%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan Южанин Южанин Южанин,# Google 地图,订座 [23] | familygarden.su [23] | 菜单 [24] | familygarden.su [24],41.2915523,69.2837310,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/30_seq93_高加索菜_.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,99,塔什干 早餐 goodfood,Good Food,https://www.google.com/maps/search/Good%20Food%20Tashkent%20Uzbekistan%20restaurant,goodfood goodfood Tashkent Uzbekistan breakfast cafe,Bakery & Coffee by Good Food,5.0 (2) | 咖啡店·Qatartol ko'chasi | 已结束营业 · 开始营业时间：10:00 | 堂食·路边自提·送货,41.2797506,69.1993923,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/31_seq99_塔什干_早餐_goodfood.md,Google有坐标待Yandex坐标复核,是,
小红书,105,塔什干 啵啵唇美女如云的餐吧oko,Oko,https://www.google.com/maps/search/Oko%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan oko bar restaurant,Oko,"152/1, Buyuk Ipak Yuli Road, 100000, Tashkent",41.3270300,69.3375740,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/32_seq105_啵啵唇美女如云的.md,用户补充地址+Google Maps已确认,是,用户补充 OKO 地址与 Google Maps 同名详情页一致。
小红书,108,塔什干 法餐Paul,Paul,https://www.google.com/maps/search/Paul%20Tashkent%20Uzbekistan%20restaurant,Paul Tashkent Uzbekistan,# Google 地图,,41.3233578,69.2827470,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/33_seq108_塔什干_法餐Paul.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,109,塔什干 茶沃奶茶,茶沃,https://www.google.com/maps/search/%E8%8C%B6%E6%B2%83%20Tashkent%20Uzbekistan%20restaurant,compass bubble tea Tashkent Uzbekistan,【CHAOMI】东方茶蜜 Bubble Tea,"4.9 (14) | 珍珠奶茶·D30 Shop, Seoul Street, 183 1st floor | 已结束营业 · 开始营业时间：11:00 | 堂食·路边自提·无接触配送",41.2985312,69.2444507,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/34_seq109_茶沃.md,Google有坐标待Yandex坐标复核,是,
小红书,110,塔什干 Dosan美女帅哥 云集的咖啡馆,Dosan,https://www.google.com/maps/search/Dosan%20Tashkent%20Uzbekistan%20restaurant,Dosan Dosan Tashkent Uzbekistan coffee shop,Cafe Dosan,"咖啡店·Tashkent City, Yakub Kolas Street 6",41.3039384,69.2704719,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/023_Dosan.md,Google Maps已确认,是,同名咖啡馆；另有 Dosan 2 显示停业，采用第一条营业候选。
小红书,111,塔什干 韩餐masil 无服务费 一人食友好,Masil,https://www.google.com/maps/search/Masil%20Tashkent%20Uzbekistan%20restaurant,masil masil Tashkent Uzbekistan Korean restaurant,# Google 地图,附近的餐馆 酒店 推荐活动 酒吧 咖啡馆 外带 便利店 |  |  | ,41.2925229,69.2721224,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/36_seq111_塔什干_韩餐masil_无服务费_一人食友好.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,117,塔什干 中国人爱吃 本地人喜欢的Jumanji,Jumanji,https://www.google.com/maps/search/Jumanji%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan Jumanji,# Google 地图,,41.2957003,69.2551665,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/37_seq117_中国人爱吃.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,120,塔什干 河岸小酒馆 Khan Chapan,Khan Chapan,https://www.google.com/maps/search/Khan%20Chapan%20Tashkent%20Uzbekistan%20restaurant,Khan Chapan Khan cha Уста-Алима тупик Tashkent Uzbekistan,# Google 地图,https://www.instagram.com/ https://www.instagram.com › khan.chapan | Tashkent (@khan.chapan) - Instagram | Log in · Open app · khan.chapan's profile picture. khan.chapan. Khan Chapan | Tashkent. 47.3K followers. 5 following. Central Asian Fusion Weekdays ...,41.3397795,69.2552786,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/38_seq120_Khan_Chapan.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,122,塔什干 搞点鲜族小咸菜吃吃,Ansan,https://www.google.com/maps/search/Ansan%20Tashkent%20Uzbekistan%20restaurant,T09 sessionId vertical hasMore false stopReason end of scroll horizontal hasMore false Tashkent Uzbekistan,# Google 地图,,41.2982211,69.2385223,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/39_seq122_搞点鲜族小咸菜吃吃.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,126,塔什干 百味餐厅 这地方太危险了,百味餐厅,https://www.google.com/maps/search/%E7%99%BE%E5%91%B3%E9%A4%90%E5%8E%85%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan restaurant,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,41.2915523,69.2837310,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/40_seq126_百味餐厅.md,Google有坐标待Yandex坐标复核,是,
小红书,129,塔什干 社畜下班后 吃喝玩乐路线,Bamboo Noodle House,https://www.google.com/maps/search/Bamboo%20Noodle%20House%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan,# Google 地图,,41.2982211,69.2385223,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/42_seq129_社畜下班后_吃喝玩乐路线.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,133,塔什干 Matcha奶茶🧋,Matcha,https://www.google.com/maps/search/Matcha%20Tashkent%20Uzbekistan%20restaurant,Matcha Matcha Tashkent Uzbekistan bubble tea,Matcha:,3.9 (12)·UZS 5-10万 | 咖啡馆·Lashkarbegi St | 已结束营业 · 开始营业时间：10:00,41.3205668,69.2941402,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/43_seq133_Matcha.md,Google有坐标待Yandex坐标复核,是,
小红书,138,塔什干 本地brunch,Benedict,https://www.google.com/maps/search/Benedict%20Tashkent%20Uzbekistan%20restaurant,brunch brunch Tashkent Uzbekistan,Benedict,4.1 (164)·UZS 10-35万 | 咖啡馆·Nukus ko'chasi 31/2 | 已结束营业 · 开始营业时间：08:00 | 堂食·送货,41.2931590,69.2811265,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/44_seq138_塔什干_本地brunch.md,Google有坐标待Yandex坐标复核,是,
小红书,139,塔什干 长沙饭店,长沙饭店,https://www.google.com/maps/search/%E9%95%BF%E6%B2%99%E9%A5%AD%E5%BA%97%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan restaurant,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,41.2915523,69.2837310,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/45_seq139_长沙饭店.md,Google有坐标待Yandex坐标复核,是,
小红书,144,塔什干 miso拌饭,Miso,https://www.google.com/maps/search/Miso%20Tashkent%20Uzbekistan%20restaurant,miso miso Tashkent Uzbekistan,MISO. RESTAURANT,"68PR+9PJ, Tashkent, Tashkent Region",41.2359529,69.3417662,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/033_Miso.md,Google Maps已确认,是,同名详情页；坐标来自第二批 Google Maps 读取页。
小红书,146,塔什干 韩式烤肉 9292,9292,https://www.google.com/maps/search/9292%20Tashkent%20Uzbekistan%20restaurant,T09 sessionId vertical hasMore false stopReason end of scroll horizontal hasMore false barbecue restaurant Tashkent Uzbekistan,Navvat Lounge Bar,4.0 (577)·UZS 5-25万 | 餐馆·Matbuotchilar ko'chasi 9 | 24 小时营业 | 堂食·外带·送货,41.3117309,69.2745830,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/50_seq146_韩式烤肉_9292.md,Google有坐标待Yandex坐标复核,是,
小红书,155,乌兹别克斯坦 泰尔梅兹 diplomat餐厅,Diplomat,https://www.google.com/maps/search/Diplomat%20Tashkent%20Uzbekistan%20restaurant,diplomat diplomat Tashkent Uzbekistan restaurant,Pro. Хинкали,4.8 (193)·UZS 20-50万 | 格鲁吉亚风味·улица Шота Руставели 22А/1 | 已结束营业 · 开始营业时间：09:00,41.2927206,69.2618430,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/55_seq155_乌兹别克斯坦_泰尔梅兹_diplomat.md,Google有坐标待Yandex坐标复核,是,
小红书,162,塔什干 唐朝饭店,唐朝饭店,https://www.google.com/maps/search/%E5%94%90%E6%9C%9D%E9%A5%AD%E5%BA%97%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan restaurant,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,41.2915523,69.2837310,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/56_seq162_唐朝饭店.md,Google有坐标待Yandex坐标复核,是,
小红书,168,在希瓦terrace餐厅的早c晚a,Terrace,https://www.google.com/maps/search/Terrace%20Tashkent%20Uzbekistan%20restaurant,terrace terrace Tashkent Uzbekistan restaurant,AZUR - Terrace Garden,4.6 (294) | 地中海风味··проезд Уста Алима 5 | 已结束营业 · 开始营业时间：12:00 | 堂食·外带·送货,41.3393297,69.2554769,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/57_seq168_在希瓦terrace.md,Google有坐标待Yandex坐标复核,是,
小红书,171,乌兹伴手礼 korzinka超市版,Korzinka,https://www.google.com/maps/search/Korzinka%20Tashkent%20Uzbekistan%20restaurant,korzinka korzinka Tashkent Uzbekistan supermarket,Korzinka - Fayzobod,4.3 (152) | 超市··Yangi Qo'yliq ko'chasi 2А | 24 小时营业·+998 78 140 14 14 | 送货,41.2564974,69.3196103,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/58_seq171_乌兹伴手礼_korzinka.md,Google有坐标待Yandex坐标复核,是,
小红书,173,塔什干 真正的韩餐厅Headri,Headri,https://www.google.com/maps/search/Headri%20Tashkent%20Uzbekistan%20restaurant,Headri Headri Tashkent Uzbekistan Korean restaurant,# Google 地图,附近的餐馆 酒店 推荐活动 酒吧 咖啡馆 外带 便利店 |  | 图层,41.2676375,69.2321406,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/59_seq173_Headri.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,177,塔什干 韩国🇰🇷超市 Ansan,Ansan,https://www.google.com/maps/search/Ansan%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan Ansan Korean restaurant,# Google 地图,附近 | 已有 17 人报告 | ,41.2788120,69.3044058,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/60_seq177_韩国_.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,178,塔什干 东方茶蜜,东方茶蜜,https://www.google.com/maps/search/%E4%B8%9C%E6%96%B9%E8%8C%B6%E8%9C%9C%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan tea cafe,flowers.milk tea,"4.9 (33)·UZS 1-50,000 | 咖啡馆·Ташкент, Мирзо-Улугбекский район, массив Буюк Ипак Йули, 15 | 已结束营业 · 开始营业时间：10:00 | 堂食·外带",41.3147034,69.2902717,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/61_seq178_东方茶蜜.md,Google有坐标待Yandex坐标复核,是,
小红书,179,塔什干 紫菜包饭 Kimpab,Kimpab,https://www.google.com/maps/search/Kimpab%20Tashkent%20Uzbekistan%20restaurant,Kimpab Kimpab Tashkent Uzbekistan,Kimpab,4.8 (16)·UZS 5-10万 | 咖啡馆·Bobur ko'chasi 174/18 | 已结束营业 · 开始营业时间：10:00 | 堂食·外带·送货,41.3018295,69.2457921,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/62_seq179_紫菜包饭_Kimpab.md,Google有坐标待Yandex坐标复核,是,
小红书,182,塔什干 土耳其早茶 Bosphorus,Bosphorus,https://www.google.com/maps/search/Bosphorus%20Tashkent%20Uzbekistan%20restaurant,Bosphorus Bosphorus Tashkent Uzbekistan tea cafe,Bosphorus Restaurant,4.2 (206)·UZS 10-40万 | 土耳其风味··Mahmud Tarobiy Street No:27 | 已结束营业 · 开始营业时间：09:00 | 堂食·外带·无接触配送,41.2842206,69.2573497,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/64_seq182_土耳其早茶_Bosphorus.md,Google有坐标待Yandex坐标复核,是,
小红书,195,塔什干 沈阳饺子馆,沈阳饺子馆,https://www.google.com/maps/search/%E6%B2%88%E9%98%B3%E9%A5%BA%E5%AD%90%E9%A6%86%20Tashkent%20Uzbekistan%20restaurant,Tashkent Uzbekistan,# Google 地图,,41.2982211,69.2385223,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/69_seq195_沈阳饺子馆.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,205,塔什干 希腊菜Nika🇬🇷 大衣保卫战,Nika,https://www.google.com/maps/search/Nika%20Tashkent%20Uzbekistan%20restaurant,Nika Nika Tashkent Uzbekistan,# Google 地图,Nika - Ресторан Греческой Кухни | 4.3 (196)·UZS 20-45万 | 餐馆·Botir Zokirov ko'chasi 7 | 已结束营业 · 开始营业时间：10:00·+998 90 787 00 30,41.3166056,69.2524797,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/71_seq205_希腊菜Nika_大衣保卫战.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,209,Borjomi 两招教你进人满拒客的餐厅,Borjomi,https://www.google.com/maps/search/Borjomi%20Tashkent%20Uzbekistan%20restaurant,Borjomi Borjomi Tashkent Uzbekistan restaurant,BOBOY Shevchenko,"4.7 (289)·UZS 15-40万 | 乌兹别克风味··Taras Shevchenko ko'chasi 38a | 24 小时营业 | ""Said的服务很不错，店很精致，还送了小水果""",41.2969259,69.2807353,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/72_seq209_Borjomi_两招教你进人满拒客的.md,Google有坐标待Yandex坐标复核,是,
小红书,224,塔什干 印度菜 Raaj Kapur,Raaj Kapur,https://www.google.com/maps/search/Raaj%20Kapur%20Tashkent%20Uzbekistan%20restaurant,Raaj Kapur T09 sessionId vertical hasMore false stopReason end of scroll horizontal hasMore false Tashkent Uzbekistan,# Google 地图,,41.3105277,69.2859821,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/75_seq224_塔什干_印度菜_Raaj_Kapur.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,236,塔什干 火到等位的土耳其餐masa,Masa,https://www.google.com/maps/search/Masa%20Tashkent%20Uzbekistan%20restaurant,masa masa Tashkent Uzbekistan,# Google 地图,,41.2873147,69.2551259,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/79_seq236_火到等位的土耳其餐masa.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,238,塔什干 首尔街boost cafe吃到他们停电,Boost Cafe,https://www.google.com/maps/search/Boost%20Cafe%20Tashkent%20Uzbekistan%20restaurant,boost cafe boost cafe Tashkent Uzbekistan,Boost Coffee,"76XW+8GP, Tashkent",,,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/049_Boost_Cafe.md,Google有文字候选无坐标,否,同名/近名详情页有地址和 Plus Code，但本次页面未给出可换算坐标。
小红书,240,塔什干 土耳其菜味道不会出错的ramiz,Ramiz,https://www.google.com/maps/search/Ramiz%20Tashkent%20Uzbekistan%20restaurant,ramiz ramiz Tashkent Uzbekistan,# Google 地图,附近的餐馆 酒店 推荐活动 酒吧 咖啡馆 外带 便利店,41.3158780,69.2478532,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/81_seq240_土耳其菜味道不会出错的ramiz.md,Google有坐标待Yandex坐标复核,否,Google页面有坐标但候选名未解析出具体地点名，需打开详情页确认
小红书,245,塔什干 奶茶🧋herotea,Hero Tea,https://www.google.com/maps/search/Hero%20Tea%20Tashkent%20Uzbekistan%20restaurant,herotea herotea Tashkent Uzbekistan bubble tea,Hero Tea,"Улица Баходира 69, Тоshkent",41.2991690,69.2472376,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads_next/051_Hero_Tea.md,Google Maps已确认,是,同名详情页；地址和坐标来自第二批 Google Maps 读取页。
微信餐厅,湘聚缘·湘菜餐厅,湘聚缘·湘菜餐厅,湘聚缘·湘菜餐厅,https://www.google.com/maps/search/%E6%B9%98%E8%81%9A%E7%BC%98%C2%B7%E6%B9%98%E8%8F%9C%E9%A4%90%E5%8E%85%20Tashkent%20Uzbekistan%20restaurant,湘聚缘·湘菜餐厅 Tashkent Uzbekistan restaurant,湘聚缘,"高档餐饮·Tashkent, Temiryulchilar Str. 38",41.2836215,69.2796498,/Users/g90/Documents/Codex/2026-06-13/hermes/work/maps_reads/052_湘聚缘湘菜餐厅.md,Google Maps已确认,是,同名结果；地址和坐标来自 Google Maps 读取页。
